Date,Stock,Tail,Fallback,Reason
2017-06-15,SBIN.NS,lower,False,
2017-06-30,INFY.NS,upper,False,
2017-06-30,INFY.NS,lower,False,
2017-06-30,SBIN.NS,upper,False,
2017-06-30,SBIN.NS,lower,False,
2017-07-14,INFY.NS,upper,False,
2017-07-14,INFY.NS,lower,False,
2017-07-14,SBIN.NS,upper,False,
2017-07-14,SBIN.NS,lower,False,
2017-07-28,INFY.NS,upper,False,
2017-07-28,INFY.NS,lower,False,
2017-07-28,SBIN.NS,upper,False,
2017-07-28,SBIN.NS,lower,False,
2017-08-11,INFY.NS,upper,False,
2017-08-11,INFY.NS,lower,False,
2017-08-11,SBIN.NS,upper,False,
2017-08-11,SBIN.NS,lower,False,
2017-08-29,INFY.NS,upper,False,
2017-08-29,INFY.NS,lower,False,
2017-08-29,SBIN.NS,upper,False,
2017-08-29,SBIN.NS,lower,False,
2017-09-12,INFY.NS,upper,False,
2017-09-12,INFY.NS,lower,False,
2017-09-12,SBIN.NS,upper,False,
2017-09-12,SBIN.NS,lower,False,
2017-09-26,INFY.NS,upper,False,
2017-09-26,INFY.NS,lower,False,
2017-09-26,SBIN.NS,upper,False,
2017-09-26,SBIN.NS,lower,False,
2017-10-11,INFY.NS,upper,False,
2017-10-11,INFY.NS,lower,False,
2017-10-11,SBIN.NS,upper,False,
2017-10-11,SBIN.NS,lower,False,
2017-10-26,INFY.NS,upper,False,
2017-10-26,INFY.NS,lower,False,
2017-10-26,SBIN.NS,upper,False,
2017-10-26,SBIN.NS,lower,False,
2017-11-09,INFY.NS,upper,False,
2017-11-09,INFY.NS,lower,False,
2017-11-09,SBIN.NS,upper,False,
2017-11-09,SBIN.NS,lower,False,
2017-11-23,INFY.NS,upper,False,
2017-11-23,INFY.NS,lower,False,
2017-11-23,SBIN.NS,upper,False,
2017-11-23,SBIN.NS,lower,False,
2017-12-07,INFY.NS,upper,False,
2017-12-07,INFY.NS,lower,False,
2017-12-07,SBIN.NS,upper,False,
2017-12-07,SBIN.NS,lower,False,
2017-12-21,INFY.NS,upper,False,
2017-12-21,INFY.NS,lower,False,
2017-12-21,SBIN.NS,upper,False,
2017-12-21,SBIN.NS,lower,False,
2018-01-05,INFY.NS,upper,False,
2018-01-05,INFY.NS,lower,False,
2018-01-05,SBIN.NS,upper,False,
2018-01-05,SBIN.NS,lower,False,
