Date,Actual,VaR_5%,ES_5%
2019-07-25,0.7683979348023351,-2.018709439906014,-2.6521114680756184
2019-08-08,1.570078451078555,-2.6020377396573213,-3.4083192215027327
2019-08-26,1.67259937782328,-2.199602884541504,-2.8990372123155703
2019-09-11,0.7415098481988801,-2.0240350943124223,-2.7515534305976908
2019-09-25,-3.924708646023075,-3.110539261877674,-4.057320529969863
2019-10-11,2.0659360565381997,-2.728416886819615,-3.5706536890825036
2019-10-27,0.9306605343833101,-2.763317627167624,-3.6494064959480634
2019-11-11,0.08927117312801502,-2.160994813133583,-2.878458298357523
2019-11-26,-0.6294196010318149,-2.024501961502115,-2.781686531289256
2019-12-10,-0.7123049709492549,-2.25880711107155,-3.004583752771897
2019-12-24,-0.320030029601325,-1.9195509730396931,-2.6209543779337974
2020-01-08,-0.45140654779012,-2.1073506256894468,-2.835056843820382
2020-01-22,0.89136437183987,-1.8165873943331352,-2.4893717710539875
2020-02-05,0.559689264207705,-2.2315542988564356,-3.160848809831471
2020-02-19,0.614145977612205,-2.1003965456439553,-2.874196235958557
2020-03-05,0.28346483792556,-2.7633669165445296,-3.748509434186889
2020-03-20,5.00747153686548,-5.666754215870897,-7.929249433710939
2020-04-07,7.367631347513855,-5.197554210608178,-7.273056245236686
2020-04-23,2.30263652599876,-2.9750910090866673,-4.170870511639155
2020-05-08,-0.5244977611464451,-3.166418535046902,-4.429914091482
2020-05-22,1.113496284078855,-3.0213861509858875,-4.154276965942425
2020-06-08,0.947649670084615,-2.690794384598552,-3.7928957047084855
2020-06-22,0.72849761963618,-2.560321644054357,-3.508551823696377
2020-07-06,0.9839036761692349,-2.3271555497148353,-3.3373537896927523
2020-07-20,2.36836583042041,-2.915420958329292,-4.245274537254023
2020-08-03,-0.26474941601172003,-2.2687626242265515,-3.206444945492145
2020-08-17,-0.6686418091985051,-2.0441817427890405,-2.828325091659898
2020-08-31,-3.29915695749879,-2.122112822755469,-3.0049407706745677
2020-09-14,0.6527608601611499,-2.5656112722866595,-3.551881556923335
2020-09-28,1.3150438068731751,-2.906307916604428,-4.120543080236695
2020-10-13,0.36170557006010007,-2.2250524479982694,-3.1026515328804494
2020-10-27,-1.504204072729295,-2.1171295490475877,-3.088038822886154
2020-11-10,0.6617214240037899,-2.30829631706422,-3.2265917614445034
2020-11-24,1.076068105379605,-2.972964196727379,-4.148296021837327
2020-12-09,0.65253520493993,-2.2449522659229646,-3.1915453017995317
2020-12-23,2.3824225814984255,-2.860009999463935,-3.9961836388453458
2021-01-07,-0.3214543759280601,-1.97175871965249,-2.838046162737837
2021-01-21,-1.27966244977611,-2.3116707246308588,-3.2387342123678136
2021-02-05,4.7990822153248045,-3.5083839892457824,-5.021515615656154
2021-02-19,-1.96558160378863,-2.498235835133569,-3.612334676872953
2021-03-05,-2.05565146776085,-2.558720780608231,-3.6166100875222558
2021-03-22,0.4082579012047949,-2.3049083473022085,-3.3344851655646117
2021-04-07,1.80224538627807,-2.4194794784952314,-3.487118223656953
2021-04-23,-0.674057641674045,-2.5440563397206017,-3.637215508079019
2021-05-07,0.044828899145210044,-2.07066628962497,-2.9100821448023946
2021-05-24,1.09556292387239,-2.359407197679899,-3.4191020776842707
2021-06-07,-0.011796962782435,-1.9727760450734437,-2.8703149239317662
2021-06-21,0.72281032876452,-1.819976156438628,-2.6401132546508257
2021-07-05,1.3169697071215,-1.813405494957924,-2.659083346795841
2021-07-19,-0.6887481425197051,-1.7267857904048272,-2.6119237326046525
2021-08-03,2.03572889227293,-1.9862833451502822,-2.9047489387567573
2021-08-17,0.6851715319430349,-1.978976903435291,-2.8132090766971025
2021-09-01,-0.398285328945035,-1.8669958253782415,-2.6591072127582
2021-09-16,1.9180608060082247,-1.7684487006326848,-2.5717896096310406
2021-09-30,-1.273042503716205,-2.2559796446927396,-3.223665076451512
2021-10-14,1.106627140784525,-2.093065953124424,-3.0164992583431394
2021-10-29,-0.9925002438998449,-2.274886932874475,-3.265826923313048
2021-11-15,-0.27674182512942,-2.094551930983372,-2.9010085433343695
2021-11-30,-0.013395652933665014,-2.33105199501125,-3.3888072688860413
2021-12-14,0.29129982009926003,-2.0701485739313847,-2.9294803139549033
2021-12-28,0.92470157570651,-2.041590928023752,-2.9307568377882105
2022-01-11,0.358675487121055,-2.157533104243556,-3.0527507918878576
2022-01-25,1.60886521253078,-2.355589823116186,-3.333578537769554
2022-02-09,0.94459172993271,-2.235366338552674,-3.200161057309713
2022-02-23,0.274539703822475,-2.329325749996058,-3.1657420409962125
2022-03-10,2.192088460008755,-2.534006891752657,-3.7128645380328043
2022-03-25,0.09846032460810494,-2.2264727771242887,-3.322174679096577
2022-04-08,0.210831947145345,-1.8793884036345283,-2.787343488497709
2022-04-26,1.7081163725285,-2.7222617279897787,-4.014078325094792
2022-05-11,-0.7105250815068549,-2.4180580041505704,-3.453310706508543
2022-05-25,-1.1649246937009,-2.7095418659393116,-3.956832113576201
2022-06-08,0.622371892962725,-2.159246615436543,-3.113285924189269
2022-06-22,-0.78321720173453,-2.539590413640806,-3.7739053602211006
2022-07-06,1.348318786059655,-1.9255405344025693,-2.8022825049466498
2022-07-20,2.096672676819715,-2.073924347071755,-2.9383276248997423
2022-08-03,0.6081357274974649,-1.9256974711583867,-2.6708052229182493
2022-08-19,-0.69501590587372,-1.8500080404744734,-2.592810943162123
2022-09-05,0.48934315766768494,-2.3671825424582247,-3.4827620201241025
2022-09-19,1.4003010225784749,-2.888089639690155,-4.216301056704517
2022-10-03,-1.7348021794376849,-2.2217114802866713,-3.186677790590404
2022-10-18,2.1591404672765497,-2.1486595557212667,-2.9863981455986313
2022-11-02,-0.895198725930775,-1.9475461303411639,-2.832844711139681
2022-11-17,-0.541126201418265,-1.8949186122014912,-2.7818718809465564
2022-12-01,1.13957173297743,-1.6865223192391625,-2.5089189706917883
2022-12-15,-2.0161785785420854,-1.8863360443672248,-2.7683851138787765
2022-12-29,1.130778907316655,-2.211305254648991,-3.166905419224478
2023-01-12,0.16569646600244,-2.0210945766293675,-2.936971539588839
2023-01-27,-3.372700499646635,-2.1905266551059803,-3.1467512024446775
2023-02-10,-0.05812880805240497,-2.4378738211118836,-3.3766094286022876
2023-02-24,0.0031879104006563366,-2.1262879063089573,-3.0995326924486335
2023-03-13,-2.86466016576632,-2.1751228485578284,-3.166551378101244
2023-03-27,0.77235728291152,-2.202841342828214,-3.333667609506203
2023-04-13,-0.9402218456790601,-1.9285636358410756,-2.819028916152491
2023-04-28,1.445589552334275,-2.4075772362198804,-3.5979810705693
2023-05-15,0.8485194496910349,-1.8757737129119234,-2.8151787626911955
2023-05-29,0.646203004613975,-1.7773847566592071,-2.673448732904759
2023-06-12,1.0121856873067547,-1.7006190907504897,-2.6211796460391183
2023-06-26,0.43140601628092,-1.745677854877513,-2.6187842218205004
2023-07-11,0.3834772014856399,-1.60086933116902,-2.396864198149458
2023-07-25,-0.73082132248699,-3.0464012609765296,-4.6665595004727605
2023-08-08,0.35512375369500504,-2.12425481895686,-3.2387906496522865
2023-08-23,0.882763001629645,-1.8139958963750882,-2.7795124502868376
2023-09-06,-0.26768189074676,-1.6793902187450873,-2.5889179903761437
2023-09-21,-0.7046002806331799,-1.5420646221178538,-2.307351236419971
2023-10-06,0.69533352490093,-1.7992881284701288,-2.7947301165389966
2023-10-20,-0.9378219177138399,-1.6997520314237609,-2.448680798642361
2023-11-06,0.18060629567447,-1.685533194769233,-2.460768917207045
2023-11-21,-0.116490096321105,-1.8322485134181354,-2.723160590987734
2023-12-06,0.7114092475699101,-1.811068559412432,-2.6493146732068333
2023-12-20,-2.174672090217325,-2.0032277557657427,-2.8688758149846034
2024-01-04,0.701572262229935,-2.0943564269877255,-3.0883713824625043
2024-01-18,0.25646692656137,-2.1704412980255685,-3.2494656595146316
2024-02-05,-0.70026174675356,-1.817679907745785,-2.7020644278959254
2024-02-19,0.24468153634563,-2.1474596896475977,-3.226384728467288
2024-03-04,-0.343448184484035,-1.8677589760549225,-2.556593202581485
2024-03-19,-1.793687690846435,-1.8317148711525504,-2.680207166162566
2024-04-04,-0.5639315154195099,-1.7523853441338595,-2.452244585195648
2024-04-22,1.78797135576826,-1.7026769065729923,-2.3088855355234696
2024-05-07,0.15843882262084508,-1.8063223018211871,-2.4874170774069744
2024-05-22,0.82484131216494,-1.727780585711956,-2.381627463069418
2024-06-05,2.2206726681565,-3.4548379110615803,-4.882246262922012
2024-06-20,-0.3879051206989949,-1.6954897170082888,-2.484789369462407
2024-07-04,0.670564001319355,-1.7289848702189783,-2.4436203139515604
2024-07-19,0.74727923125749,-1.8576605795589711,-2.5903643414174264
2024-08-02,-1.719990364140735,-1.7152410306401378,-2.4160882813078457
2024-08-19,0.255517852019455,-1.8634213479975608,-2.686902636506512
2024-09-02,0.93216530802758,-1.5299617991900618,-2.2340626033646163
2024-09-16,-0.17828774463869002,-1.8560430733896889,-2.561325819738728
