Threshold (u),Shape,Scale,Loc,KS_p,AD_p,Num_Exceedances,xi_std,sigma_std,xi_mean,sigma_mean,xi_rel,sigma_rel,stable,Fallback,FallbackReason,Stock,Tail
-1.0104626087193775,0.12054684627907558,0.46540737074866256,0,0.8892333232904258,0.8766666666666667,148,0.015047948092256111,0.01265294126149875,0.09749539826782488,0.48475784231812286,0.15434519799043897,0.02610157050781561,True,False,,SBIN.NS,lower
0.6676719836175316,0.22007613192120062,0.4719551184714186,0,0.7233564780569213,0.5666666666666667,188,0.0034497155461575557,0.005481052595796301,0.21645562023349227,0.4746302607962661,0.01593728720494044,0.011548046833593196,True,False,,INFY.NS,upper
-0.6777104645245046,0.269882259747087,0.4974341495063188,0,0.41092603403846306,0.27666666666666667,188,0.020034629598522067,0.016065659195984624,0.27278666306810234,0.4935813845358994,0.07344431226491896,0.03254915880913767,True,False,,INFY.NS,lower
0.7964972166047417,0.08844024132149322,0.5616284276229189,0,0.9005820520308524,0.9666666666666667,188,0.013629983182488963,0.013590853483903837,0.07637005029779492,0.5746462879246881,0.178472861345672,0.02365081535021918,True,False,,SBIN.NS,upper
-0.8196864210486347,-0.012944667552095297,0.5838960955744434,0,0.16309474190152395,0.35,188,0.002567776949267983,0.0032584505162704222,-0.013233369956856054,0.5843689653346394,0.1940378767661431,0.005576015589130938,True,False,,SBIN.NS,lower
0.6654191482965528,0.21007903051147292,0.48097298070645556,0,0.7439387091130192,0.5533333333333333,188,0.0007259377047086434,0.004132543091245819,0.2092523154994735,0.4808609694027401,0.0034691977877706784,0.008594049565799039,True,False,,INFY.NS,upper
-0.6779028559658088,0.27624210872938676,0.49105166026636043,0,0.4297228084189961,0.31,188,0.02067736159117762,0.01605835446456652,0.28043328925467853,0.48594543624868697,0.07373361739184636,0.03304559099901209,True,False,,INFY.NS,lower
0.785497670158774,0.07567455894064726,0.5787291127642622,0,0.724600747364343,0.84,188,0.005536012091269689,0.0046092931436587286,0.07956268756150663,0.5740619856707941,0.06958049765708393,0.008029260216525478,True,False,,SBIN.NS,upper
-1.013521669225354,0.06122025922494455,0.49586474075534015,0,0.9908846440146332,0.99,144,0.002896277697501594,0.004080413820079521,0.06302550188015735,0.49364234330288803,0.045954052749446125,0.008265931382868743,True,False,,SBIN.NS,lower
0.6656399242313843,0.20529493445603544,0.4875816706699324,0,0.6615409281685982,0.5533333333333333,188,0.0028670083171286544,0.0064497974533197664,0.2038318004014714,0.48823452006822826,0.014065558812835617,0.013210449192150421,True,False,,INFY.NS,upper
-0.6838957075304588,0.2769763291987772,0.4861614715773753,0,0.3972123465727877,0.28,188,0.018698956997236935,0.01437696583749183,0.27708068167040173,0.48530757596872215,0.06748560097966001,0.029624440773564208,True,False,,INFY.NS,lower
0.778980943751747,0.06886531258687424,0.5854210445782442,0,0.6595150415221152,0.5966666666666667,188,0.012440745618219486,0.012559082416558582,0.08428123854952461,0.5681282376500741,0.14760988751737777,0.022106069304784974,True,False,,SBIN.NS,upper
-0.8133236117433504,-0.02665468374462738,0.5985210608047651,0,0.2969694963504752,0.5933333333333334,188,0.003399254737568721,0.004214136584937968,-0.026604527084488183,0.5985456318221488,0.12776973817562348,0.007040626963900193,True,False,,SBIN.NS,lower
0.6562141232213331,0.22076619238003745,0.48024377661446205,0,0.7717658306783162,0.5833333333333334,188,0.003512389654091269,0.006650462288918461,0.21700775286097126,0.4830264303991574,0.016185548423636464,0.013768319356229724,True,False,,INFY.NS,upper
-0.6751489657693921,0.2774732450416777,0.48256661652992044,0,0.4854788536010799,0.31,188,0.019973495517794017,0.01572428910263093,0.27837819655552476,0.48105798204963696,0.07174949420406639,0.0326868888211059,True,False,,INFY.NS,lower
0.7986808535369387,0.09086655042567406,0.5570222101780542,0,0.6254613406815754,0.89,188,0.013487540600488498,0.013921691877413765,0.07395703977858836,0.5753815142775397,0.1823699111966651,0.024195583782246247,True,False,,SBIN.NS,upper
